Country Name,ISO3,Year,HDI,Suicide_rate,GDP_per_capita,log_GDP_per_capita,income_group_auto,continent,Low_data_quality_flag,HDI_sq,Suicide_rate_lag1,HDI_lag1,Low_data_quality_flag_panel
Bosnia and Herzegovina,BIH,2019,0.78,,5751.347308944572,8.657189420943075,Lower-Middle,Europe,✅ Sufficient data,0.6084,,0.718,⚠️ Low data reliability
Bosnia and Herzegovina,BIH,2020,0.776,11.52,5751.347308944572,8.657189420943075,Lower-Middle,Europe,✅ Sufficient data,0.602176,,0.78,✅ Sufficient data
Bosnia and Herzegovina,BIH,2021,0.776,10.7,5751.347308944572,8.657189420943075,Lower-Middle,Europe,✅ Sufficient data,0.602176,11.52,0.776,✅ Sufficient data
Bosnia and Herzegovina,BIH,2022,0.779,,5751.347308944572,8.657189420943075,Lower-Middle,Europe,✅ Sufficient data,0.6068410000000001,10.7,0.776,⚠️ Low data reliability
Bosnia and Herzegovina,BIH,2023,0.804,,5751.347308944572,8.657189420943075,Lower-Middle,Europe,✅ Sufficient data,0.6464160000000001,,0.779,⚠️ Low data reliability
Belarus,BLR,2010,0.79,,6269.997382956399,8.743531216235555,Lower-Middle,Europe,✅ Sufficient data,0.6241000000000001,,,⚠️ Low data reliability
Belarus,BLR,2019,0.81,,6269.997382956399,8.743531216235555,Lower-Middle,Europe,✅ Sufficient data,0.6561000000000001,,0.79,⚠️ Low data reliability
Belarus,BLR,2020,0.8,20.14,6269.997382956399,8.743531216235555,Lower-Middle,Europe,✅ Sufficient data,0.6400000000000001,,0.81,✅ Sufficient data
Belarus,BLR,2021,0.801,20.44,6269.997382956399,8.743531216235555,Lower-Middle,Europe,✅ Sufficient data,0.6416010000000001,20.14,0.8,✅ Sufficient data
Belarus,BLR,2022,0.801,,6269.997382956399,8.743531216235555,Lower-Middle,Europe,✅ Sufficient data,0.6416010000000001,20.44,0.801,⚠️ Low data reliability
Belarus,BLR,2023,0.824,,6269.997382956399,8.743531216235555,Lower-Middle,Europe,✅ Sufficient data,0.6789759999999999,,0.801,⚠️ Low data reliability
Belize,BLZ,2010,0.72,,5742.746890584008,8.655692927210499,Lower-Middle,America,✅ Sufficient data,0.5184,,,⚠️ Low data reliability
Belize,BLZ,2019,0.718,,5742.746890584008,8.655692927210499,Lower-Middle,America,✅ Sufficient data,0.515524,,0.72,⚠️ Low data reliability
