Country Name,GDP_per_capita,Suicide_rate,HDI_2023,GDP_per_capita_coverage,Suicide_rate_coverage,Low_data_quality_flag,HDI_sq,log_GDP_per_capita,HDI_2023_lag1,GDP_per_capita_lag1,Suicide_rate_lag1,income_group_auto,ISO3,continent,coverage_frac
Israel,39878.749054473636,4.96,0.919,1.0,0.8,✅ Sufficient data,0.8445610000000001,10.593598855842414,,,,High,ISR,Asia,1.0
Italy,31925.845193250767,6.855,0.915,1.0,0.8,✅ Sufficient data,0.8372250000000001,10.371171154888618,,,,High,ITA,Europe,1.0
Jamaica,5092.938836616722,1.6475,0.72,1.0,0.8,✅ Sufficient data,0.5184,8.535610317508883,,,,Lower-Middle,JAM,America,1.0
Japan,35760.95499079595,16.9825,0.925,1.0,0.8,✅ Sufficient data,0.8556250000000001,10.484611934490035,,,,High,JPN,Asia,1.0
Jordan,3887.768692091739,0.6975,0.754,1.0,0.8,✅ Sufficient data,0.568516,8.265590671035806,,,,Lower-Middle,JOR,Asia,1.0
Kazakhstan,10831.334367431713,17.237499999999997,0.837,1.0,0.8,✅ Sufficient data,0.700569,9.290198542694442,,,,Upper-Middle,KAZ,Asia,1.0
Kenya,1659.6323976939202,5.7875,0.628,1.0,0.8,✅ Sufficient data,0.394384,7.414351409655207,,,,Low,KEN,Africa,1.0
Kiribati,1851.596715648054,18.747500000000002,0.644,1.0,0.8,✅ Sufficient data,0.41473600000000005,7.5238036353642554,,,,Low,KIR,Oceania,1.0
"Korea, Rep.",32108.965176163107,27.8525,0.937,1.0,0.8,✅ Sufficient data,0.8779690000000001,10.376890559101245,,,,High,KOR,Asia,1.0
Kuwait,26322.150097614904,2.0525,0.852,1.0,0.8,✅ Sufficient data,0.725904,10.17816607274162,,,,High,KWT,Asia,1.0
Kyrgyz Republic,1163.0019324264022,7.7875000000000005,0.72,1.0,0.8,✅ Sufficient data,0.5184,7.058759814104904,,,,Low,KGZ,Asia,1.0
Lao PDR,2538.064126372469,4.415000000000001,0.617,1.0,0.8,✅ Sufficient data,0.380689,7.839156914453355,,,,Lower-Middle,LAO,Asia,1.0
Latvia,15564.866089755047,17.11,0.889,1.0,0.8,✅ Sufficient data,0.790321,9.65277147954638,,,,Upper-Middle,LVA,Europe,1.0
Lebanon,6955.211306391046,0.7224999999999999,0.752,1.0,0.8,✅ Sufficient data,0.565504,8.847246485835784,,,,Upper-Middle,LBN,Asia,1.0
Lesotho,995.4025560436419,29.6725,0.55,1.0,0.8,✅ Sufficient data,0.30250000000000005,6.903147234276935,,,,Low,LSO,Africa,1.0
Liberia,633.5066933630263,5.8999999999999995,0.51,1.0,0.8,✅ Sufficient data,0.2601,6.4512705653928695,,,,Low,LBR,Africa,1.0
Libya,7926.744452493747,5.6000000000000005,0.721,1.0,0.8,✅ Sufficient data,0.519841,8.977997694711073,,,,Upper-Middle,LBY,Africa,1.0
Liechtenstein,12856.822455578022,15.346250000000001,0.938,0.0,0.0,⚠️ Low data reliability,0.8798439999999998,9.461629879824867,,,,Upper-Middle,LIE,Europe,1.0
